Common.name,Scientific.name,Max.length.cm
Arrowtooth flounder,Atheresthes stomias,22
Darkblotched rockfish,Sebastes crameri,15
Dover sole,Microstomus pacificus,17
English sole,Parophrys vetulus,16
Lingcod,Ophiodon elongatus,25
Longspine thornyhead,Sebastolobus altivelis,7
Pacific grenadier,Coryphaenoides acrolepis,3
Pacific hake,Merluccius productus,15
Pacific sanddab,Citharichthys sordidus,13
Petrale sole,Eopsetta jordani,21
Sablefish,Anoplopoma fimbria,29
Shortspine thornyhead,Sebastolobus alascanus,8
Splitnose rockfish,Sebastes diploproa,10